Path,Sample,ReferenceGenome,Outgroup
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN2p_D1982001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN2q_D1964001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3a_F1954001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3b_E1979001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3c_CMCC84038b,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3d_YN1683,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3e_YN472,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3f_YN1065,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3g_E1977001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3h_CMCC84033,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.IN3i_CMCC84046,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.ORI1a_CMCC114001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,1.ORI1c_F1946001,Ypestis_ASM906v1,0
