Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,0.PE7b_620024,Ypestis_ASM906v1,0.PE7b_620024,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1343UnTal85,Ypestis_ASM906v1,1343UnTal85,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN1a_CMCC11001,Ypestis_ASM906v1,1.IN1a_CMCC11001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN1b_780441,Ypestis_ASM906v1,1.IN1b_780441,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN1c_K21985002,Ypestis_ASM906v1,1.IN1c_K21985002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2a_CMCC640047,Ypestis_ASM906v1,1.IN2a_CMCC640047,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2b_30017,Ypestis_ASM906v1,1.IN2b_30017,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2c_CMCC31004,Ypestis_ASM906v1,1.IN2c_CMCC31004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2d_C1975003,Ypestis_ASM906v1,1.IN2d_C1975003,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2e_C1989001,Ypestis_ASM906v1,1.IN2e_C1989001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2f_710317,Ypestis_ASM906v1,1.IN2f_710317,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2g_CMCC05013,Ypestis_ASM906v1,1.IN2g_CMCC05013,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2h_5,Ypestis_ASM906v1,1.IN2h_5,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2i_CMCC10012,Ypestis_ASM906v1,1.IN2i_CMCC10012,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2j_CMCC27002,Ypestis_ASM906v1,1.IN2j_CMCC27002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2k_970754,Ypestis_ASM906v1,1.IN2k_970754,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2l_D1991004,Ypestis_ASM906v1,1.IN2l_D1991004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2m_D1964002b,Ypestis_ASM906v1,1.IN2m_D1964002b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2n_CMCC02041,Ypestis_ASM906v1,1.IN2n_CMCC02041,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2o_CMCC03001,Ypestis_ASM906v1,1.IN2o_CMCC03001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2p_D1982001,Ypestis_ASM906v1,1.IN2p_D1982001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN2q_D1964001,Ypestis_ASM906v1,1.IN2q_D1964001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3a_F1954001,Ypestis_ASM906v1,1.IN3a_F1954001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3b_E1979001,Ypestis_ASM906v1,1.IN3b_E1979001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3c_CMCC84038b,Ypestis_ASM906v1,1.IN3c_CMCC84038b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3d_YN1683,Ypestis_ASM906v1,1.IN3d_YN1683,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3e_YN472,Ypestis_ASM906v1,1.IN3e_YN472,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3f_YN1065,Ypestis_ASM906v1,1.IN3f_YN1065,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3g_E1977001,Ypestis_ASM906v1,1.IN3g_E1977001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3h_CMCC84033,Ypestis_ASM906v1,1.IN3h_CMCC84033,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.IN3i_CMCC84046,Ypestis_ASM906v1,1.IN3i_CMCC84046,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI1a_CMCC114001,Ypestis_ASM906v1,1.ORI1a_CMCC114001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI1c_F1946001,Ypestis_ASM906v1,1.ORI1c_F1946001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2a_YN2179,Ypestis_ASM906v1,1.ORI2a_YN2179,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2c_YN2551b,Ypestis_ASM906v1,1.ORI2c_YN2551b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2d_YN2588,Ypestis_ASM906v1,1.ORI2d_YN2588,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2f_CMCC87001,Ypestis_ASM906v1,1.ORI2f_CMCC87001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2g_F1984001,Ypestis_ASM906v1,1.ORI2g_F1984001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2h_YN663,Ypestis_ASM906v1,1.ORI2h_YN663,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2i_CMCCK100001a,Ypestis_ASM906v1,1.ORI2i_CMCCK100001a,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI2i_CMCCK110001b,Ypestis_ASM906v1,1.ORI2i_CMCCK110001b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,1.ORI3a_EV76,Ypestis_ASM906v1,1.ORI3a_EV76,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT1a_34008,Ypestis_ASM906v1,2.ANT1a_34008,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT1b_34202,Ypestis_ASM906v1,2.ANT1b_34202,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2a_2,Ypestis_ASM906v1,2.ANT2a_2,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2b_351001,Ypestis_ASM906v1,2.ANT2b_351001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2c_CMCC347001,Ypestis_ASM906v1,2.ANT2c_CMCC347001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2d_G1996006,Ypestis_ASM906v1,2.ANT2d_G1996006,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2e_G1996010,Ypestis_ASM906v1,2.ANT2e_G1996010,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT2f_CMCC348002,Ypestis_ASM906v1,2.ANT2f_CMCC348002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3a_CMCC92010,Ypestis_ASM906v1,2.ANT3a_CMCC92010,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3b_CMCC95001,Ypestis_ASM906v1,2.ANT3b_CMCC95001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3c_CMCC96001,Ypestis_ASM906v1,2.ANT3c_CMCC96001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3d_CMCC96007,Ypestis_ASM906v1,2.ANT3d_CMCC96007,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3e_CMCC67001,Ypestis_ASM906v1,2.ANT3e_CMCC67001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3f_CMCC104003,Ypestis_ASM906v1,2.ANT3f_CMCC104003,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3g_CMCC51020,Ypestis_ASM906v1,2.ANT3g_CMCC51020,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3h_CMCC106002,Ypestis_ASM906v1,2.ANT3h_CMCC106002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3i_CMCC64001,Ypestis_ASM906v1,2.ANT3i_CMCC64001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3j_H1959004,Ypestis_ASM906v1,2.ANT3j_H1959004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3k_5761,Ypestis_ASM906v1,2.ANT3k_5761,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.ANT3l_735,Ypestis_ASM906v1,2.ANT3l_735,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED1b_2506,Ypestis_ASM906v1,2.MED1b_2506,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED1c_2654,Ypestis_ASM906v1,2.MED1c_2654,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED1d_2504,Ypestis_ASM906v1,2.MED1d_2504,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED2b_91,Ypestis_ASM906v1,2.MED2b_91,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED2c_K11973002,Ypestis_ASM906v1,2.MED2c_K11973002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED2d_A1973001,Ypestis_ASM906v1,2.MED2d_A1973001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED2e_7338,Ypestis_ASM906v1,2.MED2e_7338,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3a_J1963002,Ypestis_ASM906v1,2.MED3a_J1963002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3b_CMCC125002b,Ypestis_ASM906v1,2.MED3b_CMCC125002b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3c_I1969003,Ypestis_ASM906v1,2.MED3c_I1969003,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3d_J1978002,Ypestis_ASM906v1,2.MED3d_J1978002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3f_I1970005,Ypestis_ASM906v1,2.MED3f_I1970005,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3g_CMCC99103,Ypestis_ASM906v1,2.MED3g_CMCC99103,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3h_CMCC90027,Ypestis_ASM906v1,2.MED3h_CMCC90027,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3i_CMCC92004,Ypestis_ASM906v1,2.MED3i_CMCC92004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3j_I2001001,Ypestis_ASM906v1,2.MED3j_I2001001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3k_CMCC12003,Ypestis_ASM906v1,2.MED3k_CMCC12003,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3l_I1994006,Ypestis_ASM906v1,2.MED3l_I1994006,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3m_SHAN11,Ypestis_ASM906v1,2.MED3m_SHAN11,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3n_SHAN12,Ypestis_ASM906v1,2.MED3n_SHAN12,0,0
